video_id,signer_id,fps,resolution,gloss,num_frames,length_seconds
000000,001,25.0,1080,Anh,65,2.6
000001,001,25.0,1080,Anh,56,2.24
000861,002,25.0,1080,Anh,60,2.4
000862,002,25.0,1080,Anh,55,2.2
001702,003,25.0,1080,Anh,55,2.2
001703,003,25.0,1080,Anh,56,2.24
002554,004,25.0,1080,Anh,60,2.4
002555,004,25.0,1080,Anh,61,2.44
004247,007,25.0,1080,Anh,64,2.56
004248,007,25.0,1080,Anh,50,2.0
005078,008,25.0,1080,Anh,66,2.64
005079,008,25.0,1080,Anh,70,2.8
005893,009,25.0,1080,Anh,87,3.48
005894,009,25.0,1080,Anh,79,3.16
005895,009,25.0,1080,Anh,79,3.16
005896,009,25.0,1080,Anh,83,3.32
005897,009,25.0,1080,Anh,76,3.04
005898,009,25.0,1080,Anh,82,3.28
005899,009,25.0,1080,Anh,75,3.0
005900,009,25.0,1080,Anh,80,3.2
005901,009,25.0,1080,Anh,75,3.0
005902,009,25.0,1080,Anh,86,3.44
007820,011,25.0,1080,Anh,58,2.32
007821,011,25.0,1080,Anh,55,2.2
008756,012,25.0,1080,Anh,63,2.52
008757,012,25.0,1080,Anh,65,2.6
009598,013,25.0,1080,Anh,61,2.44
009599,013,25.0,1080,Anh,56,2.24
010423,014,25.0,1080,Anh,53,2.12
010424,014,25.0,1080,Anh,52,2.08
010425,014,25.0,1080,Anh,46,1.84
010426,014,25.0,1080,Anh,54,2.16
011351,015,25.0,1080,Anh,58,2.32
011352,015,25.0,1080,Anh,54,2.16
011353,015,25.0,1080,Anh,57,2.28
011354,015,25.0,1080,Anh,60,2.4
011355,015,25.0,1080,Anh,53,2.12
011356,015,25.0,1080,Anh,60,2.4
011357,015,25.0,1080,Anh,54,2.16
011358,015,25.0,1080,Anh,52,2.08
012508,016,25.0,1080,Anh,65,2.6
012509,016,25.0,1080,Anh,65,2.6
013366,018,25.0,1080,Anh,59,2.36
013367,018,25.0,1080,Anh,56,2.24
